Name,Energy,Carbohydrate,Sugar,Protein,Fat,SaturatedFat,Fiber,Cost,CustomWeights,Quickselect
Semmelknödel,156,18.8,3.4,6.9,5.6,2.1,1.2,0.60,,n
Senf (scharf),121,5.4,5.4,6,6.5,0.4,3,0.50,,n
Senf (süß),225,39,38,7,2.8,0.2,3,0.50,,n
Sojahack,300,25,0,50,0,0,0,0.80,,n
Sojasauce,84,9.8,2,9,0,0,0,0.70,,n
Spinat,21,0.6,0.5,2.7,0.3,0.1,2.6,0.30,,n
Steak (vegan),177,6.7,1.7,13,9.8,0.9,4.9,1.00,,n
Streichwurst,354,0.9,0.6,13.9,33.2,20,0,1.00,,n
Sushi (mit Fisch),115,15.1,0.06,7.92,2.22,0.71,0.27,0.36,,n
Süßgebäck,400,50,25,9,18,9,3,0.70,,n
Süßkartoffel,114,24.1,4.6,1.6,0.6,0,3.1,0.35,,n
Tempeh,204,4.2,0.2,20,11,1.5,4.2,1.20,,n
Thunfisch (in Öl),188,0,0,25,9.5,1.7,0,0.75,,n
Thunfisch (vegan),150,1.1,0.7,12,10,0.9,0,1.50,,n
Toast (Vollkorn),268,43,4.3,8.8,5.3,0.5,6.5,0.20,,n
Tofu (Natur),126,0,0,13,7.9,1.4,0,0.70,,n
Tomate,18,2.6,2.5,1,0.2,0.1,1,0.25,80:1 Small-120:1 Medium-180:1 Large,y
Tomaten (passiert),35,4.9,4,1.7,0.2,0,1.4,0.14,,n
Tomatenmark,124,20.5,16.5,5.7,0.2,0.1,4.5,0.70,,n
Topinambur,53,4,4,2.4,0.4,0.1,12.1,0.20,,n
Tortellini (getrocknet),315,47,0.9,11.5,8.5,3.2,2.2,0.25,,n
Tortilla,296,51,4.7,7.9,5.9,1.1,4.4,0.40,62:1 Piece-124:2 Pieces-186:3 Pieces,n
Walnüsse,712,3.7,3,15.5,69.1,6.8,6.8,1.00,25:10 Halves-38:15 Halves-50:20 Halves-75:30 Halves,n
Wassermelone,38,8.3,8.3,0.6,0.2,0.1,0.2,0.10,,n
Weintrauben,69,15.2,15.1,0.7,0.3,0.1,1.5,0.25,,y
Wrap (mit Avocado),181,25,3.2,4.3,6.2,0.9,3.9,1.20,,n
Wrap (mit Hähnchen),273,27,3.7,9.4,14,1.3,0.8,0.35,,n
Wurst (vegan),122,3.8,2.3,2.2,9.2,0.7,7.4,1.20,,n
Zitrone,29,9,2.5,1,0.3,0,2.8,0.30,80:1 Small-120:1 Large,n
Zucchini,23,2.3,2.3,2,0.3,0,1.1,0.30,150:1 Small-250:1 Medium-350:1 Large,n
Zucker,400,100,100,0,0,0,0,0.15,,n
Zwiebel,30,4.9,4.9,1.2,0.3,0.2,1.4,0.14,80:1 Small-120:1 Medium-180:1 Large,y
