Name,Energy,Carbohydrate,Sugar,Protein,Fat,SaturatedFat,Fiber,Cost,CustomWeights,Quickselect
Frijoles al horno,94,13.6,4.9,4.8,0.7,0.2,7.1,0.25,,n
Frikadellen (vegano),234,6.5,1.5,13,16,4,6,0.70,,n
Frutos secos mixtos,652,9.63,4.63,20.1,57.6,6.9,7.73,0.77,,n
Galletas mixtas,487,58,22,5.7,26,15,1.5,0.60,,n
Garbanzos (secos),336,43,2,19,6,1,17,0.35,,n
Gnocchi (cocidos),146,31,0.5,3.1,0.2,0,1.5,0.15,,n
Granada,80,16.1,16.1,0.7,0.6,0.2,2.2,0.80,,n
Granola,441,62.7,13.9,10.2,15,1.8,7.2,0.40,,n
Guisantes (frescos),91,12.3,1.3,6.6,0.5,0.1,4.3,0.40,,n
Harina (trigo),338,68,1.7,12,1.1,0.2,4,0.15,,n
Harina de coco,361,20,18,20,14,14,35,2.00,,n
Helado,234,28,25,4,12,7.6,0,0.85,,n
Higado de pollo,136,1.2,0,22.1,4.7,3,0,0.60,,n
Hinojo,23,3,3,1.4,0.2,0,2,0.40,,n
Huevo,137,1.5,1.5,11.9,9.3,6,0,0.30,,y
Jamon,117,2.3,0.8,17,4.4,1.7,0,1.80,,n
Judias verdes,37,5.1,2.7,2.4,0.2,0.1,1.9,0.10,,n
Ketchup,106,23,18,1.4,0.2,0.1,0.7,0.12,,n
Kiwi,55,9.1,8.8,0.9,0.6,0.2,3,0.20,,y
Lasana,163,17.2,2.7,9.9,6,3,1.3,0.80,,n
Leche (3.5%),64,4.7,4.7,3.3,3.5,2.3,0,0.12,,n
Leche de avena,45,6.5,3.5,0.5,1.5,0.2,0,0.15,,n
Leche de coco,185,2,2,1.6,19,17,0.5,0.45,,n
Lechuga,17,1.9,1.7,1.4,0.2,0.1,1.5,0.25,,n
Lentejas (enteras),337,48,1.9,26,1.9,0.3,12,0.40,,y
Lentejas rojas,349,54,2,25,2.3,0.5,5.9,0.40,,n
Limon,29,9,2.5,1,0.3,0,2.8,0.30,,n
Maiz (en conserva),77,12,5.5,2.6,1.7,0.3,2,0.30,,n
Maiz (fresco),94,15.8,3.4,3,1.2,0.2,4,0.30,,n
Malvaviscos,326,77,69,4.5,0,0,0,0.60,,n
Mandarina,50,10.2,10.1,0.6,0.3,0.3,2,0.15,,n
Mango,60,12.5,12.2,0.6,0.5,0.1,1.7,0.40,,n
Mantequilla,765,0,0,0.9,85,45.5,0,0.80,,n
Mantequilla de cacahuete,623,15,10,25,50,10,6.4,0.60,,n
Manzana,57,11.4,10.3,0.3,0.6,0.2,2,0.15,,y
Margarina,720,0,0,0,80,24,0,0.30,,n
Melocoton,44,8.9,8.2,0.8,0.1,0.1,1.9,0.20,,y
Melon,57,12.4,12.4,0.9,0.1,0,0.7,0.20,,y
Mermelada (arandano rojo),165,40,39,0.2,0.3,0,0.5,0.20,,n
Mermelada (promedio),238,58,56.9,0.2,0.1,0,1,0.40,,n
Miel,304,82,82,0.3,0,0,0.2,1.50,,n
Mijo,357,68.8,1.5,9.8,3.9,1,3.8,0.20,,n
Mostaza (Dijon),121,5.4,5.4,6,6.5,0.4,3,0.50,,n
Mostaza (dulce),225,39,38,7,2.8,0.2,3,0.50,,n
Mozzarella,249,1.5,1.5,18,19,13,0,0.90,,n
Muesli,345,61,20,9,5.1,1.8,9.5,0.22,,n
Naranja,47,8.3,8.3,1,0.2,0.1,2.2,0.20,,y
Nueces,712,3.7,3,15.5,69.1,6.8,6.8,1.00,,n
Nuggets (veganos),281,19,0.2,6,19,2.3,4.9,0.70,,n
Pan crujiente,330,59,1.5,10,1.5,0.4,20,0.70,,n
Pan de centeno,210,38,3.9,5.8,1.8,0.3,9.3,0.20,,n
Pan de trigo,240,43,3.9,7,2.7,0.5,6,0.18,,n
Pan tostado (integral),268,43,4.3,8.8,5.3,0.5,6.5,0.20,,n
Papaya,48,10.2,10.2,0.5,0.1,0,1.9,0.20,,n
Pasas,292,68,68,2.5,0.3,0.1,5.2,0.30,,n
Pasta,350,71,3.2,12,1.2,0.3,1.5,0.15,,y
Pastel de carne (vegano),166,1.8,0.2,8,13,1,5,1.40,,n
Pasteleria,400,50,25,9,18,9,3,0.70,,n
Patata,76,15.6,0.7,1.9,0.1,0,1.2,0.14,,y
Patatas fritas (bolsa),535,51,2.1,6.5,33,3,4,1.00,,n
Patatas fritas (congeladas),135,23.4,0.5,2.3,3,0.3,2.8,0.15,,n
Pechuga de pollo,102,0,0,23.6,0.7,0.4,0,0.50,,n
Pepinillo,33,5.5,5.4,1.2,0.3,0.1,1,0.40,,n
Pepino,14,1.8,1.8,0.6,0.2,0.1,0.9,0.20,,n
Pera,58,12.4,10.3,0.5,0.3,0.1,2.8,0.20,,n
Pescado (ahumado),252,0,0,18,20,4.2,0,2.50,,n
Pimiento,37,5.3,5,1.2,0.3,0,3.6,0.40,,n
Pina,59,12.4,12.4,0.5,0.2,0.1,1.4,0.30,,n
Platano,93,20,7,1.2,0.2,0.1,1.8,0.17,,y
Pomelo,45,7.4,7.4,0.6,0.2,0.1,0.6,0.20,,n
Promedio,100,12.5,5,5,3.33,1,2.5,0,,n
Pure de manzana,63,14,13.4,0.3,0.4,0.2,1,0.18,,n
Queso (promedio),398,0,0,28.9,31.2,25,0,1.20,,n
Queso (tostado),324,0,0,24,25,17,0,0.70,,n
Quinoa,347,58.5,1.8,13.8,5,0.5,6.6,0.40,,n
Rabano,17,2.1,2.1,1.1,0.1,0,1.6,0.10,,n
Refresco,40,10,10,0,0,0,0,0.10,,n
Remolacha,46,8.4,8.4,1.5,0,0,2.5,0.20,,n
Salchicha (fresca),240,1.2,0.6,17,19,6.2,0,0.50,,n
Salchicha (vegana),122,3.8,2.3,2.2,9.2,0.7,7.4,1.20,,n
Salchicha de higado,354,0.9,0.6,13.9,33.2,20,0,1.00,,n
Salchichon,371,0,0,18.5,33,25,0.5,1.80,,n
Salchichon (vegano),264,9.5,4.7,33,9.6,0.8,3.6,1.50,,n
Salmon,210,0,0,21,14,2,0,1.00,,n
Salmon (ahumado),167,0,0,21,9,1.3,0,3.00,,n
Salmon (vegano),67,12,3.5,1,1,0.4,0,2.00,,n
Salsa de soja,84,9.8,2,9,0,0,0,0.70,,n
Sandia,38,8.3,8.3,0.6,0.2,0.1,0.2,0.10,,n
Sandwich,254,26,1.8,5,14,3.7,2.1,1.20,,n
Seitan,129,7.7,0.6,21,1.3,0.2,1.4,1.25,,n
Soja texturizada,300,25,0,50,0,0,0,0.80,,n
Sushi (con pescado),115,15.1,0.06,7.92,2.22,0.71,0.27,0.36,,n
Tempeh,204,4.2,0.2,20,11,1.5,4.2,1.20,,n
Ternera (promedio),170,0,0,20,10,6,0,1.20,,n
Tofu (natural),126,0,0,13,7.9,1.4,0,0.70,,n
Tomate,18,2.6,2.5,1,0.2,0.1,1,0.25,,y
Tomate (tamizado),35,4.9,4,1.7,0.2,0,1.4,0.14,,n
Tortellini (secos),315,47,0.9,11.5,8.5,3.2,2.2,0.25,,n
Tortilla,296,51,4.7,7.9,5.9,1.1,4.4,0.40,,n
Trigo pelado,323,59.6,0.7,10.6,1.8,0.8,13.3,0.15,,n
Trigo sarraceno,350,71,0.4,9.8,1.7,0.4,3.7,0.30,,n
Tupinambo,53,4,4,2.4,0.4,0.1,12.1,0.20,,n
Uvas,69,15.2,15.1,0.7,0.3,0.1,1.5,0.25,,y
Varitas de pescado,189,15.9,0.2,10.5,9.1,1,0.2,0.60,,n
Vinagre (manzana),22,1.2,1.2,0.2,0,0,0,0.15,,n
Wrap (aguacate),181,25,3.2,4.3,6.2,0.9,3.9,1.20,,n
Wrap (pollo),273,27,3.7,9.4,14,1.3,0.8,0.35,,n
Yogur (3.5%),69,3.8,3.8,4.8,3.5,2.3,0,0.30,,n
Yogur (almendra),61,6.4,0.2,1.3,3.1,0.2,1,0.40,,n
Yogur (coco),94,5.2,0.8,0.7,7.7,7.1,0.5,0.50,,n
Yogur (griego 2%),58,4,4,6,2,1.4,0,0.35,,n
Zanahoria,39,6.8,6.4,0.8,0.2,0.1,3.6,0.12,,y
Zumo de naranja,38,8.7,8.7,0.4,0,0,0.1,0.10,,n
